firstName,lastName,email,password,role
User1,User,User001@test.com,Pass123!,student
User2,User,User002@test.com,Pass123!,student
User3,User,User003@test.com,Pass123!,student
User4,User,User004@test.com,Pass123!,student
User5,User,User005@test.com,Pass123!,student
User6,User,User006@test.com,Pass123!,student
User7,User,User007@test.com,Pass123!,student
User8,User,User008@test.com,Pass123!,student
User9,User,User009@test.com,Pass123!,student
User10,User,User010@test.com,Pass123!,student
User11,User,User011@test.com,Pass123!,student
User12,User,User012@test.com,Pass123!,student
User13,User,User013@test.com,Pass123!,student
User14,User,User014@test.com,Pass123!,student
User15,User,User015@test.com,Pass123!,student
User16,User,User016@test.com,Pass123!,student
User17,User,User017@test.com,Pass123!,student
User18,User,User018@test.com,Pass123!,student
User19,User,User019@test.com,Pass123!,student
User20,User,User020@test.com,Pass123!,student
User21,User,User021@test.com,Pass123!,student
User22,User,User022@test.com,Pass123!,student
User23,User,User023@test.com,Pass123!,student
User24,User,User024@test.com,Pass123!,student
User25,User,User025@test.com,Pass123!,student
User26,User,User026@test.com,Pass123!,student
User27,User,User027@test.com,Pass123!,student
User28,User,User028@test.com,Pass123!,student
User29,User,User029@test.com,Pass123!,student
User30,User,User030@test.com,Pass123!,student
User31,User,User031@test.com,Pass123!,student
User32,User,User032@test.com,Pass123!,student
User33,User,User033@test.com,Pass123!,student
User34,User,User034@test.com,Pass123!,student
User35,User,User035@test.com,Pass123!,student
User36,User,User036@test.com,Pass123!,student
User37,User,User037@test.com,Pass123!,student
User38,User,User038@test.com,Pass123!,student
User39,User,User039@test.com,Pass123!,student
User40,User,User040@test.com,Pass123!,student
User41,User,User041@test.com,Pass123!,student
User42,User,User042@test.com,Pass123!,student
User43,User,User043@test.com,Pass123!,student
User44,User,User044@test.com,Pass123!,student
User45,User,User045@test.com,Pass123!,student
User46,User,User046@test.com,Pass123!,student
User47,User,User047@test.com,Pass123!,student
User48,User,User048@test.com,Pass123!,student
User49,User,User049@test.com,Pass123!,student
User50,User,User050@test.com,Pass123!,student
User51,User,User051@test.com,Pass123!,student
User52,User,User052@test.com,Pass123!,student
User53,User,User053@test.com,Pass123!,student
User54,User,User054@test.com,Pass123!,student
User55,User,User055@test.com,Pass123!,student
User56,User,User056@test.com,Pass123!,student
User57,User,User057@test.com,Pass123!,student
User58,User,User058@test.com,Pass123!,student
